Feature1 ,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
-4.045640388,-6.014986339,8.957867154,2.871991799,1.000512803,0.206983533,0.198423404,-4.24645661,7.843300843,2.1903051,-0.966896021,1.72314047,6.83621645,-2.752880391,0.156818446,-2.142907422,1.21721846,2.127739698,4.293674262,-4.152255864,1
-11.58282449,-2.391011226,5.191309151,10.52298597,-2.929133057,-1.803035515,1.86572369,1.973315426,1.293248428,1.858355877,1.500378828,4.181725647,2.681588982,-1.634269952,2.316539743,1.07104638,-0.933380531,-3.112640988,0.167150688,-3.398145474,1
-12.58998256,7.124929551,3.695129126,0.097415253,6.132578705,-0.971181093,2.541187313,-0.735022413,-4.148026168,5.679864202,-0.14628704,-0.938289131,1.426240547,-0.997447739,0.364642432,0.254012344,-0.658851604,1.89657028,-0.396756577,0.466062592,1
-10.98407204,-0.84276026,5.956736646,2.313325723,0.069613806,-3.391333108,4.075613389,0.201343276,2.072974417,0.008192892,2.978235076,0.263218997,1.955113781,-2.890987731,0.482153328,2.502302836,-0.003857902,0.447261653,0.759378621,-4.553764814,1
-5.551869417,8.741753107,0.440827424,10.23685114,4.360557489,3.125345623,-0.856846999,5.399406709,-1.498226591,1.948620905,0.09599207,-3.018162723,-1.029727071,-0.616530185,0.796258621,3.162232039,-2.144204807,1.300083267,-0.651339155,-3.652652587,1
-11.09285367,-0.094903766,8.231893426,-2.645187267,2.12428223,-2.257210018,-5.015714026,4.643698929,-0.304887621,3.14465295,5.066716387,1.224622687,0.967919254,4.327822833,-3.007695531,1.281472924,-0.972624393,2.057493281,2.084708509,2.473169261,1
2.970693213,-11.17941478,-1.040691634,2.123102293,0.92842263,0.391668957,7.440125652,-9.158779358,2.059411193,-3.468370348,5.924367515,-2.765561277,0.886064659,0.917893503,2.7388282,-3.629189593,0.115518443,-0.213005817,-0.887897473,2.460946186,1
-6.835084714,-6.877656953,7.46238921,-4.402076881,0.011707623,1.963992351,-6.83397003,3.809545612,2.081954969,0.254761426,-7.472974477,-1.415927107,-0.06289507,0.32133835,-2.543310092,-1.557030369,-2.975967586,-5.349419717,0.152342865,0.507343171,1
-9.847562661,-9.713937315,2.876887775,-6.075589479,-0.410387097,-4.305315929,-1.692257527,-2.297267428,2.139280353,-3.664909155,4.597444589,-5.76775678,1.599201214,0.881414997,-4.032554274,0.506946623,-0.063942787,0.372001967,-1.519021588,3.108942414,1
-14.68967585,-5.208882557,4.218231349,-8.630354011,0.83805428,-2.05559002,3.426078415,1.96934397,3.596857149,-2.927003156,1.725020525,1.876716901,-0.579242602,-0.182977198,0.720294255,-2.113238399,-0.074878665,-4.075116067,0.809872532,-0.77659961,1
-11.18018824,-5.027857428,2.775897717,-12.11252469,-0.981776914,1.094227557,-1.675408057,2.975434003,1.812537209,0.356138676,-0.835085252,0.941380567,2.609462857,0.215626246,-0.097346505,1.476249003,1.148137643,-5.316553356,1.982146833,0.467088561,1
-4.389096529,9.397051697,0.013768156,2.055410479,-4.145886407,-8.170717692,3.066441655,4.508119151,-1.77002051,3.758889076,1.12819641,-9.495192564,0.857695822,0.762924198,4.722013822,4.042192038,1.325642108,-0.944037827,-2.674812241,-4.141919658,1
-7.877366454,-8.716339832,12.26701221,-2.094301546,0.2239092,6.966571184,-2.876122699,-1.10625405,3.204587399,0.803018898,-7.028858079,-2.042283172,0.483800687,0.240948226,-1.973377738,1.073956014,2.920167875,-3.130532431,-3.646092682,2.616798116,1
-13.99917378,-3.420023361,8.177756327,3.608369019,1.684119719,2.994942364,-2.45992762,3.309551791,5.553795926,-0.078372388,1.955868899,-1.528720381,-0.865256026,-1.851238712,1.95141213,1.067300787,-0.471925359,-3.243455404,3.117274698,1.774240105,1
-14.32423038,6.540516345,-1.246710656,-8.588945297,8.092154575,-0.143037003,2.03968945,-3.092302683,-3.083602117,-0.003628411,2.33702812,4.317321911,0.297290811,-1.755572419,-0.606162366,4.291903878,3.599617803,-1.431110925,2.494377294,0.355147897,1
-17.08172011,-5.304254162,-1.674376775,0.494698128,3.471787274,2.841708995,1.050897793,2.115610533,3.904445677,-5.400390184,0.975241845,2.898524012,-0.244808517,4.283597744,4.435999037,4.061121792,-2.325788843,-3.245188955,-2.200648637,-1.398903125,1
-6.410017814,-3.926065433,4.23678603,1.167382548,5.333473693,-0.86080975,-4.900578325,-0.417022976,-3.22844455,6.058445873,3.240756849,4.107088598,2.606600724,-2.49890467,0.825520902,4.096186096,-0.617375911,-1.404373451,0.914819622,-0.803195237,1
1.896935205,-3.476360036,6.07980546,8.513193572,3.101356393,-1.5324045,3.020371955,-6.016934878,3.206894934,-0.900219951,2.619274563,2.495938698,-0.001691634,-0.960531117,-1.314893236,-0.266169399,-1.829552214,1.668419306,-0.825750777,-3.021273707,1
